contractor_id,avg_cost_overrun_pct,avg_delay_days,on_time_delivery_rate,ghost_billing_flags,litigation_count,shell_risk_score,solvency_score,max_budget_handled_cr,budget_scale_ratio,blacklisted,is_fraud_or_default,eligibility_tier
299,16.89,49.5,0.712,0,1,19.2,72.9,73.32,1.59,0,0,CONDITIONAL
300,22.6,31.5,0.755,0,1,21.1,68.0,94.9,0.86,0,0,CONDITIONAL
301,23.21,47.9,0.511,0,3,18.2,59.1,15.24,6.1,0,1,DISQUALIFIED
302,3.01,15.8,0.906,0,0,3.6,90.3,446.76,1.03,0,0,APPROVED
303,16.01,49.7,0.613,0,2,18.9,62.1,86.28,1.59,0,0,CONDITIONAL
304,0.94,2.8,0.852,0,0,14.2,95.2,96.16,0.65,0,0,APPROVED
305,9.6,65.4,0.733,1,3,28.7,63.8,68.84,0.96,0,1,DISQUALIFIED
306,23.08,78.9,0.627,0,1,14.1,55.0,77.5,1.53,0,0,CONDITIONAL
307,16.31,75.6,0.638,0,2,25.2,59.9,24.62,1.19,0,0,CONDITIONAL
308,2.28,35.3,1.0,0,0,7.0,87.4,363.39,0.93,0,0,APPROVED
309,0.0,20.1,0.936,0,0,2.6,88.9,102.74,0.6,0,0,APPROVED
310,5.31,5.1,0.953,0,0,13.5,79.7,278.51,0.68,0,0,APPROVED
311,9.55,3.3,0.993,0,0,1.1,91.6,291.05,1.05,0,0,APPROVED
312,37.97,108.1,0.702,0,2,28.5,44.6,26.37,7.35,0,1,DISQUALIFIED
313,16.89,47.5,0.678,0,3,11.7,68.0,25.93,1.18,0,0,CONDITIONAL
314,37.41,44.3,0.642,0,1,26.2,41.7,14.24,5.05,0,1,DISQUALIFIED
315,40.89,143.9,0.559,0,3,38.2,53.7,6.66,6.72,0,1,DISQUALIFIED
316,30.66,82.6,0.763,1,2,13.5,68.4,69.64,1.54,0,1,DISQUALIFIED
317,3.38,18.2,0.938,0,0,9.4,90.0,450.11,0.82,0,0,APPROVED
318,19.31,62.7,0.603,0,1,15.1,61.3,39.32,1.01,0,0,CONDITIONAL
319,3.04,33.5,0.875,0,0,10.2,93.3,172.38,0.92,0,0,APPROVED
320,6.8,22.6,0.948,0,0,4.8,79.4,362.59,0.5,0,0,APPROVED
321,23.09,34.2,0.744,0,1,12.2,69.0,49.47,1.23,0,0,CONDITIONAL
322,4.56,15.0,0.945,0,0,1.5,90.3,195.36,1.11,0,0,APPROVED
323,56.05,202.5,0.233,3,3,68.1,42.0,19.8,4.04,1,1,DISQUALIFIED
324,55.74,214.2,0.23,2,3,76.9,36.2,26.99,2.39,1,1,DISQUALIFIED
325,6.34,29.4,0.974,0,0,13.1,88.5,311.43,1.19,0,0,APPROVED
326,48.2,171.9,0.531,0,1,32.9,63.2,28.23,4.38,0,1,DISQUALIFIED
327,21.75,87.1,0.653,0,2,26.9,62.5,95.34,0.97,0,0,CONDITIONAL
328,18.74,92.8,0.786,0,1,13.9,67.7,67.94,0.98,0,0,CONDITIONAL
329,47.87,91.4,0.546,0,2,33.3,57.5,25.95,6.92,0,1,DISQUALIFIED
330,52.11,161.2,0.5,3,3,83.9,22.5,37.64,3.42,1,1,DISQUALIFIED
331,0.98,17.8,0.967,0,1,10.2,79.9,438.35,1.1,0,0,APPROVED
332,3.65,6.6,0.97,0,0,15.0,75.7,453.81,0.86,0,0,APPROVED
333,62.31,212.8,0.262,2,7,92.0,38.0,38.14,1.52,0,1,DISQUALIFIED
334,1.79,10.1,0.885,0,0,4.8,77.3,125.37,0.43,0,0,APPROVED
335,30.0,192.2,0.219,2,3,69.3,21.9,20.66,3.76,0,1,DISQUALIFIED
336,5.63,14.3,0.937,0,0,13.1,78.6,87.23,0.74,0,0,APPROVED
337,6.38,24.2,0.932,0,0,3.0,89.4,173.14,0.74,0,0,APPROVED
338,0.34,0.0,0.9,0,0,1.8,84.6,256.29,0.95,0,0,APPROVED
339,24.78,82.0,0.667,0,2,34.7,72.8,49.72,1.0,0,0,CONDITIONAL
340,22.84,63.7,0.836,0,2,19.0,72.2,52.54,1.13,0,0,CONDITIONAL
341,15.05,73.6,0.721,0,1,26.1,59.6,64.21,1.17,0,0,CONDITIONAL
342,10.47,70.4,0.612,0,1,15.5,58.7,86.06,1.09,0,0,CONDITIONAL
343,48.81,246.7,0.245,4,4,67.9,30.0,35.35,4.22,0,1,DISQUALIFIED
344,12.02,47.9,0.646,1,1,16.6,55.0,89.65,1.59,0,1,DISQUALIFIED
345,14.18,76.5,0.55,0,1,33.0,55.8,43.32,1.01,0,0,CONDITIONAL
346,1.54,19.0,0.964,0,0,11.6,78.6,269.27,0.69,0,0,APPROVED
347,25.03,55.9,0.652,0,2,32.8,65.2,60.1,0.85,0,1,DISQUALIFIED
348,0.22,0.0,1.0,0,0,3.2,75.6,252.07,0.51,0,0,APPROVED
349,1.58,24.9,0.844,0,0,6.3,93.4,226.44,0.98,0,0,APPROVED
350,4.88,9.0,0.958,0,0,8.9,96.4,224.3,0.36,0,0,APPROVED
351,3.25,39.4,0.884,0,0,1.4,97.1,350.54,1.14,0,0,APPROVED
352,4.86,43.7,0.969,0,0,12.9,96.8,448.18,0.97,0,0,APPROVED
353,5.19,42.1,0.89,0,0,4.7,82.9,425.56,1.14,0,0,APPROVED
354,2.43,29.6,0.91,0,0,2.3,78.7,317.85,0.44,0,0,APPROVED
355,49.02,90.0,0.261,4,5,89.9,30.6,37.13,4.31,1,1,DISQUALIFIED
356,0.0,5.8,1.0,0,0,13.4,95.6,459.13,0.58,0,0,APPROVED
357,13.05,49.8,0.658,0,2,13.0,69.7,62.52,1.09,0,0,CONDITIONAL
358,11.66,84.5,0.57,0,1,12.9,65.9,92.19,1.14,0,0,CONDITIONAL
359,33.43,117.0,0.606,0,3,27.0,48.2,5.27,7.05,0,1,DISQUALIFIED
360,40.72,116.2,0.489,0,1,44.4,45.4,6.68,5.77,0,1,DISQUALIFIED
361,28.72,102.6,0.485,0,2,23.9,63.5,25.47,7.91,0,1,DISQUALIFIED
362,3.19,19.0,0.943,0,0,1.7,76.2,361.41,0.71,0,0,APPROVED
363,0.0,29.8,0.827,0,0,12.5,86.0,207.87,0.63,0,0,APPROVED
364,38.29,72.3,0.516,0,2,29.5,61.0,10.53,4.6,0,1,DISQUALIFIED
365,23.89,150.4,0.4,1,1,43.0,57.1,18.29,2.68,0,1,DISQUALIFIED
366,15.67,36.3,0.675,0,3,24.1,69.3,25.48,1.22,0,0,CONDITIONAL
367,4.53,22.4,0.891,0,0,8.7,84.3,425.14,1.03,0,0,APPROVED
368,19.35,30.7,0.643,0,1,20.3,68.5,72.65,0.87,0,0,CONDITIONAL
369,2.06,14.8,0.86,0,1,8.8,80.3,276.09,0.96,0,0,APPROVED
370,44.49,241.2,0.254,5,7,86.0,32.0,22.1,4.06,1,1,DISQUALIFIED
371,27.76,52.4,0.676,1,2,31.1,63.6,50.32,1.72,0,1,DISQUALIFIED
372,3.69,19.2,0.981,0,0,5.3,88.2,196.35,0.34,0,0,APPROVED
373,2.76,26.3,0.877,0,0,12.3,96.8,230.1,1.0,0,0,APPROVED
374,6.2,44.7,0.974,0,0,2.7,96.6,131.53,0.86,0,0,APPROVED
375,4.13,0.0,0.862,0,0,6.9,92.4,454.08,0.38,0,0,APPROVED
376,2.29,35.7,1.0,0,0,4.3,75.5,425.73,1.18,0,0,APPROVED
377,4.23,14.6,0.913,0,0,1.6,88.2,226.8,0.33,0,0,APPROVED
378,22.44,62.8,0.697,0,1,34.3,65.9,42.02,1.51,0,0,CONDITIONAL
379,2.4,31.7,0.888,0,0,12.7,93.5,150.94,0.5,0,0,APPROVED
380,28.7,40.5,0.519,1,1,21.3,58.8,6.28,5.21,0,1,DISQUALIFIED
381,0.4,0.0,0.858,0,0,12.3,92.5,119.25,0.43,0,0,APPROVED
382,3.27,2.7,0.832,0,0,1.8,75.8,226.36,0.93,0,0,APPROVED
383,0.0,31.6,0.87,0,0,4.4,90.5,421.73,0.91,0,0,APPROVED
384,20.48,71.4,0.547,0,1,35.1,46.8,7.03,7.96,0,1,DISQUALIFIED
385,4.51,36.7,0.973,0,0,7.5,89.2,235.04,0.68,0,0,APPROVED
386,3.56,37.2,0.93,0,0,14.1,90.8,420.47,0.8,0,0,APPROVED
387,34.63,84.7,0.639,0,1,44.4,56.8,26.17,4.28,0,1,DISQUALIFIED
388,15.62,106.7,0.822,0,2,20.7,60.5,81.49,1.03,0,0,CONDITIONAL
389,21.71,32.1,0.635,0,1,25.1,72.0,23.6,1.53,0,0,CONDITIONAL
390,4.77,31.7,0.918,0,0,7.5,75.3,86.72,0.53,0,0,APPROVED
391,0.32,48.7,0.856,0,0,10.3,97.2,72.69,1.1,0,0,APPROVED
392,19.14,65.3,0.85,0,1,25.0,61.8,93.38,1.21,0,0,CONDITIONAL
393,0.51,35.5,1.0,0,1,12.1,90.6,355.83,1.15,0,0,APPROVED
394,3.61,29.8,0.863,0,0,9.3,75.4,377.95,0.59,0,0,APPROVED
395,6.18,82.7,0.639,0,2,29.5,57.4,20.0,1.51,0,0,CONDITIONAL
396,3.72,37.6,0.927,0,1,8.9,86.8,88.28,0.79,0,0,APPROVED
397,0.0,42.6,0.903,0,0,2.4,79.1,494.3,0.7,0,0,APPROVED
398,16.73,96.9,0.727,0,1,20.1,68.5,74.58,1.12,0,0,CONDITIONAL
399,0.71,24.9,1.0,0,0,11.5,95.1,274.98,0.96,0,0,APPROVED
400,22.22,53.5,0.561,0,2,14.9,57.5,97.08,0.91,0,0,CONDITIONAL
401,24.73,123.0,0.716,0,1,25.9,71.4,23.33,1.3,0,0,CONDITIONAL
402,12.58,44.1,0.614,0,3,30.2,66.7,78.42,1.16,0,0,CONDITIONAL
403,9.81,61.3,0.74,0,3,10.5,61.3,24.55,1.57,0,0,CONDITIONAL
404,45.96,152.8,0.463,0,2,28.6,50.3,28.37,3.88,0,1,DISQUALIFIED
405,4.07,21.2,0.89,0,0,8.1,78.7,346.15,1.2,0,0,APPROVED
406,17.01,36.2,0.565,0,3,20.4,62.7,72.78,1.24,0,0,CONDITIONAL
407,19.04,77.8,0.85,0,1,18.5,57.5,51.34,0.96,0,0,CONDITIONAL
408,22.58,185.8,0.699,1,2,25.4,60.1,18.51,2.94,0,1,DISQUALIFIED
409,16.77,85.1,0.638,0,1,24.9,56.6,95.17,1.56,0,0,CONDITIONAL
410,15.36,121.8,0.668,1,2,16.9,73.8,29.95,1.68,0,1,DISQUALIFIED
411,54.71,171.2,0.27,3,4,95.9,33.2,24.44,4.28,1,1,DISQUALIFIED
412,1.77,11.2,0.962,0,0,7.2,89.8,221.43,0.35,0,0,APPROVED
413,16.59,85.2,0.677,0,2,30.7,66.8,48.25,1.6,0,0,CONDITIONAL
414,9.3,76.1,0.788,0,2,20.4,74.2,63.29,1.41,0,0,CONDITIONAL
415,5.76,49.0,0.99,0,0,4.2,90.3,86.05,0.7,0,0,APPROVED
416,4.39,12.2,0.893,0,0,1.7,84.1,280.27,0.73,0,0,APPROVED
417,2.51,22.8,0.884,0,0,9.0,88.0,445.12,0.8,0,0,APPROVED
418,48.11,346.2,0.34,2,7,92.8,23.0,12.32,1.85,0,1,DISQUALIFIED
419,0.0,21.8,0.936,0,0,6.3,87.8,84.54,0.3,0,0,APPROVED
420,18.79,37.2,0.842,0,1,10.6,61.7,34.17,0.9,0,0,CONDITIONAL
421,66.36,259.9,0.188,2,3,70.9,36.5,30.33,3.28,1,1,DISQUALIFIED
422,30.0,209.0,0.244,3,5,97.8,21.5,36.23,4.36,0,1,DISQUALIFIED
423,3.81,19.1,0.945,0,0,11.2,84.7,310.26,1.05,0,0,APPROVED
424,22.66,82.2,0.622,0,2,27.1,53.0,29.91,3.24,0,1,DISQUALIFIED
425,11.99,57.9,0.809,0,1,18.9,66.9,66.05,0.96,0,0,CONDITIONAL
426,10.99,117.4,0.828,0,2,10.6,62.1,82.42,1.36,0,0,CONDITIONAL
427,4.54,46.7,0.953,0,0,7.8,78.1,167.6,0.68,0,0,APPROVED
428,22.97,20.0,0.71,0,1,17.1,69.7,21.92,1.38,0,0,CONDITIONAL
429,46.64,142.0,0.303,3,4,82.2,39.2,15.89,1.29,1,1,DISQUALIFIED
430,13.46,70.6,0.772,1,1,28.7,73.3,65.77,0.98,0,1,DISQUALIFIED
431,1.43,8.8,0.946,0,0,7.0,89.2,86.71,0.38,0,0,APPROVED
432,0.0,0.0,0.925,0,0,6.6,93.7,56.24,0.88,0,0,APPROVED
433,17.36,90.0,0.85,0,3,34.9,69.4,42.98,1.68,0,0,CONDITIONAL
434,4.89,25.0,0.909,0,0,4.1,78.2,436.6,0.75,0,0,APPROVED
435,22.69,45.2,0.638,0,1,34.4,67.9,94.76,1.1,0,0,CONDITIONAL
436,38.82,136.6,0.685,1,1,18.9,56.8,23.23,5.66,0,1,DISQUALIFIED
437,0.0,20.7,1.0,0,0,4.3,84.3,171.12,0.48,0,0,APPROVED
438,18.52,101.7,0.654,0,3,40.4,44.6,28.91,4.57,0,1,DISQUALIFIED
439,2.94,9.1,0.905,0,0,12.3,95.1,186.11,1.07,0,0,APPROVED
440,42.55,186.1,0.322,4,7,87.5,24.0,25.02,3.65,1,1,DISQUALIFIED
441,5.47,10.8,0.914,0,0,11.5,93.7,475.59,0.58,0,0,APPROVED
442,52.09,244.1,0.208,4,5,73.3,38.6,15.07,1.4,1,1,DISQUALIFIED
443,15.9,91.2,0.727,0,1,28.0,65.2,68.35,1.26,0,0,CONDITIONAL
444,24.66,128.7,0.664,0,3,35.1,57.4,14.07,7.34,0,1,DISQUALIFIED
445,25.79,77.5,0.587,0,1,22.5,63.6,12.46,6.77,0,1,DISQUALIFIED
446,3.47,26.4,0.922,0,0,6.0,82.9,284.24,0.7,0,0,APPROVED
447,86.92,358.5,0.262,4,4,78.7,26.4,33.55,1.94,1,1,DISQUALIFIED
448,17.36,35.0,0.55,0,2,22.8,61.4,67.68,1.8,0,0,CONDITIONAL
449,2.43,29.3,0.85,0,0,13.8,94.4,384.03,0.45,0,0,APPROVED
450,1.98,22.2,0.906,0,1,7.0,77.7,280.58,0.61,0,0,APPROVED
451,6.64,32.1,0.915,0,0,5.8,85.2,354.01,0.76,0,0,APPROVED
452,42.55,207.3,0.43,5,4,97.6,35.4,17.46,3.25,1,1,DISQUALIFIED
453,51.46,186.2,0.138,4,4,92.3,15.0,19.23,2.12,0,1,DISQUALIFIED
454,1.71,23.5,0.854,0,0,6.8,83.7,444.16,1.11,0,0,APPROVED
455,13.67,57.2,0.615,0,1,29.6,57.4,70.79,0.92,0,0,CONDITIONAL
456,0.35,22.7,0.985,0,0,14.4,80.7,436.84,0.45,0,0,APPROVED
457,48.09,200.5,0.264,2,4,77.4,25.6,26.34,1.81,1,1,DISQUALIFIED
458,3.53,20.5,0.822,0,0,11.4,89.8,120.1,0.79,0,0,APPROVED
459,0.0,0.0,0.901,0,0,6.5,96.8,113.54,0.99,0,0,APPROVED
460,2.69,19.3,0.929,0,0,5.8,89.4,136.41,0.43,0,0,APPROVED
461,62.18,248.9,0.26,3,5,76.7,19.0,27.89,4.29,0,1,DISQUALIFIED
462,1.68,10.8,0.885,0,0,10.0,88.8,363.24,0.63,0,0,APPROVED
463,26.5,59.8,0.528,0,3,25.3,57.1,5.63,6.3,0,1,DISQUALIFIED
464,4.23,22.1,0.891,0,0,6.4,76.9,116.22,0.57,0,0,APPROVED
465,0.35,19.3,0.944,0,0,14.5,79.7,383.7,0.79,0,0,APPROVED
466,45.44,312.7,0.5,2,3,95.2,23.9,21.16,4.09,0,1,DISQUALIFIED
467,55.42,310.6,0.256,2,5,95.3,26.4,20.26,4.85,1,1,DISQUALIFIED
468,7.98,82.5,0.68,0,2,30.3,61.8,54.7,1.65,0,0,CONDITIONAL
469,6.48,30.7,0.941,0,0,1.7,84.2,353.19,0.71,0,0,APPROVED
470,31.8,156.4,0.439,0,2,31.4,45.1,12.3,6.62,0,1,DISQUALIFIED
471,12.7,20.0,0.705,0,1,21.2,57.5,36.48,0.8,0,0,CONDITIONAL
472,5.37,34.4,0.943,0,0,3.1,91.7,320.11,0.96,0,0,APPROVED
473,28.6,123.6,0.705,0,3,18.6,48.2,25.39,5.79,0,1,DISQUALIFIED
474,0.0,37.5,0.916,0,0,13.2,77.0,399.56,1.06,0,0,APPROVED
475,0.0,16.2,0.936,0,0,3.8,79.9,68.67,0.59,0,0,APPROVED
476,29.03,75.3,0.77,0,3,28.0,73.6,62.21,1.06,0,1,DISQUALIFIED
477,1.48,25.4,0.936,0,0,9.4,78.8,220.88,0.86,0,0,APPROVED
478,30.0,241.3,0.299,4,4,71.3,33.0,28.7,3.49,1,1,DISQUALIFIED
479,19.46,20.0,0.744,0,1,20.9,68.2,55.02,1.08,0,0,CONDITIONAL
480,14.71,78.8,0.684,1,2,18.2,69.7,22.94,1.27,0,1,DISQUALIFIED
481,7.11,25.4,0.877,0,1,8.3,89.1,156.47,0.74,0,0,APPROVED
482,2.92,12.7,0.952,0,0,8.1,92.7,77.88,0.82,0,0,APPROVED
483,2.8,11.3,0.896,0,0,1.6,85.3,309.93,0.81,0,0,APPROVED
484,4.74,9.8,0.904,0,0,2.4,92.6,484.82,1.17,0,0,APPROVED
485,67.18,268.1,0.366,3,4,90.0,22.6,19.54,4.71,0,1,DISQUALIFIED
486,9.5,70.1,0.761,0,1,18.6,72.0,64.74,1.31,0,0,CONDITIONAL
487,6.43,0.0,0.932,0,1,9.1,77.9,311.77,0.99,0,0,APPROVED
488,1.65,24.9,0.962,0,1,9.7,78.0,189.36,0.48,0,0,APPROVED
489,57.16,287.6,0.189,4,4,72.5,31.6,11.21,2.44,1,1,DISQUALIFIED
490,1.56,15.6,0.902,0,0,7.0,88.0,59.45,0.33,0,0,APPROVED
491,3.2,21.0,0.924,0,1,6.4,94.1,110.16,1.14,0,0,APPROVED
492,19.41,115.8,0.622,0,3,23.3,48.3,22.52,6.71,0,1,DISQUALIFIED
493,55.15,184.6,0.267,3,4,75.0,41.5,29.28,3.93,1,1,DISQUALIFIED
494,3.18,15.6,0.988,0,1,3.5,96.8,148.45,0.59,0,0,APPROVED
495,43.59,56.4,0.743,0,1,24.0,51.9,9.2,4.45,0,1,DISQUALIFIED
496,2.07,21.8,0.888,0,1,3.1,88.7,349.13,0.68,0,0,APPROVED
497,29.36,40.0,0.552,0,3,27.6,52.5,27.75,6.44,0,1,DISQUALIFIED
498,18.59,74.5,0.725,0,1,19.7,74.3,75.77,0.88,0,0,CONDITIONAL
499,38.81,217.9,0.1,4,3,92.3,30.1,11.64,4.89,1,1,DISQUALIFIED
500,6.3,37.2,0.915,0,0,3.7,78.0,184.04,1.0,0,0,APPROVED
501,14.42,52.8,0.737,0,3,22.1,58.6,91.29,1.26,0,0,CONDITIONAL
502,26.25,119.7,0.529,0,1,16.2,40.5,24.36,3.24,0,1,DISQUALIFIED
503,10.15,113.4,0.687,0,1,19.7,72.7,91.51,1.14,0,0,CONDITIONAL
504,23.62,20.0,0.746,0,3,13.6,66.6,42.6,1.08,0,0,CONDITIONAL
505,1.02,22.2,0.91,0,0,4.6,82.3,89.14,0.57,0,0,APPROVED
506,33.92,210.4,0.323,3,7,65.2,36.9,38.45,1.55,0,1,DISQUALIFIED
507,44.15,221.5,0.246,4,5,97.8,22.8,26.15,3.23,1,1,DISQUALIFIED
508,0.0,57.7,0.918,0,0,8.6,91.0,281.83,1.19,0,0,APPROVED
509,25.72,49.8,0.668,0,1,29.5,64.7,83.52,1.38,0,1,DISQUALIFIED
510,0.17,11.2,0.955,0,0,8.1,81.0,54.09,0.88,0,0,APPROVED
511,20.96,63.6,0.786,0,2,31.7,66.7,77.44,1.17,0,0,CONDITIONAL
512,3.53,0.0,0.875,0,1,4.4,97.2,481.16,0.52,0,0,APPROVED
513,0.0,11.1,1.0,0,0,11.3,76.2,72.18,0.65,0,0,APPROVED
514,3.68,18.5,0.82,0,0,3.7,82.1,488.71,0.67,0,0,APPROVED
515,3.72,20.7,0.959,0,0,9.5,77.0,354.59,0.36,0,0,APPROVED
516,11.34,44.4,0.755,1,1,31.1,64.2,37.41,0.93,0,1,DISQUALIFIED
517,62.48,128.4,0.174,2,3,72.0,26.1,31.12,2.03,0,1,DISQUALIFIED
518,3.32,10.5,0.957,0,0,5.4,81.1,277.67,1.0,0,0,APPROVED
519,43.09,280.4,0.167,2,5,65.3,26.0,19.88,3.83,1,1,DISQUALIFIED
520,5.82,11.1,0.965,0,0,11.2,90.9,494.32,0.5,0,0,APPROVED
521,22.53,70.0,0.738,0,1,21.9,61.7,66.35,1.69,0,0,CONDITIONAL
522,14.13,73.1,0.85,0,1,22.3,61.2,34.54,1.3,0,0,CONDITIONAL
523,2.38,0.0,0.94,0,0,11.9,93.6,395.49,0.4,0,0,APPROVED
524,22.3,71.9,0.796,0,1,23.2,55.7,71.12,0.88,0,0,CONDITIONAL
525,3.99,0.0,0.94,0,0,3.3,77.4,115.48,1.09,0,0,APPROVED
526,13.37,40.8,0.694,0,3,30.7,67.5,26.02,0.91,0,0,CONDITIONAL
527,1.48,13.9,0.886,0,1,9.5,94.2,369.66,0.4,0,0,APPROVED
528,13.67,139.4,0.444,0,3,22.9,47.0,28.27,2.64,0,1,DISQUALIFIED
529,22.58,77.8,0.806,0,2,34.6,73.2,55.13,0.84,0,0,CONDITIONAL
530,6.3,28.1,0.964,0,0,1.8,84.8,261.06,1.14,0,0,APPROVED
531,19.57,20.0,0.672,0,2,26.6,69.3,41.45,1.12,0,0,CONDITIONAL
532,0.0,15.2,0.925,0,0,13.2,95.5,252.07,0.71,0,0,APPROVED
533,5.49,27.9,0.897,0,0,13.3,80.6,297.76,0.47,0,0,APPROVED
534,0.0,16.8,0.979,0,0,8.7,77.1,390.49,0.82,0,0,APPROVED
535,1.77,12.7,0.926,0,0,1.2,76.1,307.75,1.04,0,0,APPROVED
536,1.44,36.4,0.835,0,0,1.4,91.9,331.54,0.82,0,0,APPROVED
537,17.43,132.0,0.493,0,2,40.8,64.1,20.71,3.51,0,1,DISQUALIFIED
538,2.14,24.8,0.984,0,0,11.9,91.2,425.51,0.35,0,0,APPROVED
539,23.39,136.5,0.441,1,1,32.4,44.2,22.81,3.47,0,1,DISQUALIFIED
540,5.63,33.0,0.919,0,0,3.0,92.5,275.28,1.12,0,0,APPROVED
541,0.0,30.1,0.944,0,0,11.6,82.1,251.59,0.66,0,0,APPROVED
542,37.4,158.2,0.176,3,4,73.3,39.7,17.97,4.6,0,1,DISQUALIFIED
543,17.7,77.2,0.712,0,1,17.6,56.9,31.51,0.9,0,0,CONDITIONAL
544,3.95,13.7,0.937,0,0,10.0,79.5,93.92,0.45,0,0,APPROVED
545,42.15,284.5,0.33,4,5,85.7,22.2,11.17,2.93,1,1,DISQUALIFIED
546,30.45,77.5,0.63,0,3,34.6,68.7,39.49,1.6,0,1,DISQUALIFIED
547,3.32,21.3,0.996,0,0,7.1,82.1,392.96,1.14,0,0,APPROVED
548,31.6,227.9,0.269,4,4,67.2,22.2,37.37,3.61,1,1,DISQUALIFIED
549,6.62,0.0,0.934,0,0,10.1,84.3,318.22,0.4,0,0,APPROVED
550,2.24,16.3,0.942,0,0,15.0,79.9,169.33,0.9,0,0,APPROVED
551,48.07,271.5,0.241,5,7,70.4,23.1,13.0,2.23,1,1,DISQUALIFIED
552,3.8,16.2,0.887,0,1,9.8,84.6,124.94,1.19,0,0,APPROVED
553,24.61,104.0,0.653,0,3,28.4,57.7,23.3,3.46,0,1,DISQUALIFIED
554,3.34,10.8,0.93,0,0,8.5,97.9,263.54,1.03,0,0,APPROVED
555,4.05,39.7,0.909,0,0,9.8,84.6,114.94,0.38,0,0,APPROVED
556,5.34,14.8,0.944,0,0,11.3,82.4,277.72,0.45,0,0,APPROVED
557,65.3,189.3,0.286,3,4,65.2,26.4,31.54,2.88,1,1,DISQUALIFIED
558,2.23,25.3,0.983,0,0,4.3,89.4,423.47,0.67,0,0,APPROVED
559,3.97,32.6,0.886,0,0,9.8,83.3,498.04,0.73,0,0,APPROVED
560,5.0,85.3,0.71,1,1,28.0,66.7,59.39,0.99,0,1,DISQUALIFIED
561,19.69,60.7,0.729,0,2,23.6,57.6,50.07,0.9,0,0,CONDITIONAL
562,17.2,102.0,0.677,0,1,20.2,73.5,76.83,1.22,0,0,CONDITIONAL
563,10.59,88.9,0.626,1,1,26.2,59.9,77.4,1.58,0,1,DISQUALIFIED
564,19.22,86.5,0.72,0,1,16.2,74.8,51.15,1.53,0,0,CONDITIONAL
565,13.95,46.4,0.648,0,1,32.0,74.3,47.33,1.14,0,0,CONDITIONAL
566,0.0,34.3,0.946,0,0,3.2,93.2,327.33,0.34,0,0,APPROVED
567,12.04,28.9,0.753,0,3,20.2,70.4,58.71,1.7,0,0,CONDITIONAL
568,54.94,249.4,0.335,2,5,93.1,22.8,38.57,1.39,0,1,DISQUALIFIED
569,29.24,89.5,0.703,1,2,30.6,55.3,63.36,1.26,0,1,DISQUALIFIED
570,16.36,70.3,0.661,0,2,22.1,58.0,71.86,0.97,0,0,CONDITIONAL
571,34.99,241.5,0.282,2,5,73.4,36.7,34.53,4.92,1,1,DISQUALIFIED
572,21.34,51.1,0.731,0,2,12.2,63.4,88.26,1.66,0,0,CONDITIONAL
573,2.41,13.9,0.893,0,0,6.0,93.1,155.16,0.88,0,0,APPROVED
574,3.74,30.1,0.939,0,0,13.1,88.7,107.2,0.68,0,0,APPROVED
575,5.57,32.0,0.921,0,0,14.1,86.8,477.63,0.78,0,0,APPROVED
576,0.56,19.6,0.98,0,0,7.9,94.5,424.37,0.66,0,0,APPROVED
577,9.89,15.4,0.957,0,0,5.7,77.5,157.48,1.15,0,0,APPROVED
578,1.37,17.7,0.857,0,0,1.5,82.4,294.85,0.8,0,0,APPROVED
579,4.27,19.1,0.85,0,0,7.4,92.5,142.69,0.94,0,0,APPROVED
580,1.23,41.4,0.899,0,0,8.9,79.7,383.9,0.35,0,0,APPROVED
581,51.69,205.1,0.412,3,7,69.2,19.8,24.79,1.51,0,1,DISQUALIFIED
582,37.51,216.2,0.304,5,4,73.9,34.0,29.77,4.96,0,1,DISQUALIFIED
583,21.53,80.5,0.55,0,1,19.4,70.1,63.17,0.88,0,0,CONDITIONAL
584,3.23,17.0,0.876,0,1,9.9,93.4,259.87,0.63,0,0,APPROVED
585,3.74,25.9,0.922,0,0,9.8,96.8,310.9,0.79,0,0,APPROVED
586,0.0,9.8,0.941,0,0,3.2,81.9,162.04,0.64,0,0,APPROVED
587,0.0,15.4,0.893,0,0,8.2,87.1,302.72,0.45,0,0,APPROVED
588,3.38,33.0,0.836,0,0,2.6,97.3,59.89,1.02,0,0,APPROVED
589,20.55,95.5,0.625,0,2,43.1,57.3,8.9,3.84,0,1,DISQUALIFIED
590,20.01,83.0,0.741,1,2,17.7,63.7,11.46,4.35,0,1,DISQUALIFIED
591,2.99,10.1,0.907,0,0,11.8,93.5,119.04,0.63,0,0,APPROVED
592,0.58,25.7,0.898,0,0,3.7,83.4,97.61,0.87,0,0,APPROVED
593,6.33,0.0,0.926,0,0,6.3,94.4,339.9,0.89,0,0,APPROVED
594,58.28,225.9,0.19,4,5,85.0,19.5,33.92,3.94,0,1,DISQUALIFIED
595,14.99,39.8,0.696,0,2,26.6,71.7,37.24,0.92,0,0,CONDITIONAL
596,45.04,220.2,0.403,5,3,75.0,32.2,20.5,4.73,0,1,DISQUALIFIED
597,28.49,91.0,0.641,1,1,30.7,66.3,80.98,1.51,0,1,DISQUALIFIED
598,0.0,35.9,0.93,0,0,14.5,85.4,114.25,0.65,0,0,APPROVED
599,57.61,196.5,0.247,2,5,75.3,36.1,23.28,3.04,1,1,DISQUALIFIED
600,5.08,0.0,0.872,0,0,8.4,93.6,212.8,0.77,0,0,APPROVED
